object_type,difference,object,category,blocker,assessment
relations,staging_only,battle_spectator_media_private.consents,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.listing_notice_events_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.trade_user_eligibility,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_media_private.config,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_private.links,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_withdrawals,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_contract_snapshots,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.marketplace_message_delivery_events_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_declarations_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_pickup_messages,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_private.presence,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_tax_events,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.listing_notice_events,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_tax_exports,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_private.grants,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_value_snapshots,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.account_data_rights_audit_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_pickup_handovers,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_media_private.epochs,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.account_deletion_holds,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_stripe_events,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_revision_items,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_stripe_accounts,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_media_private.revocations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_payment_allocations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_reservations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_account_audit_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,changed,dv_v16_private / openai_scan_reservation,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / profiles,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / staff_applications,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_order_shipping_access_log,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / beta_waitlist,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_order_items,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_order_payments,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / scan_reservation,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / battle_signals,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_shipping_profile_rules,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / staff_permissions,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / credit_period,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_orders,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_shipping_profiles,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_seller_stats,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / battle_ratings,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / admin_audit_log,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / collection_folders,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / scan_policy,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_default_shipping_addresses,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / username_reservations,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / openai_monthly_cost,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / weekly_usage,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_offers,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_order_cases,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_deal_shipping_addresses,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / battle_matches,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / collection_items,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_deals,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / openai_weekly_usage,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / openai_cost_import,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_notifications,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,dv_v16_private / openai_scan_policy,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_shipping_address_access_log,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_listings,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_order_shipping_addresses,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_reviews,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / battle_rating_events,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / battle_reports,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
relations,changed,public / market_listing_images,4,P0-02,ACL-Differenz: Owner-Grantoption/MAINTAIN von fachlichen Rechten trennen; nicht aus Live-Drift als Soll übernehmen.
columns,staging_only,dv_market_private.account_deletion_requests.user_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.account_data_rights_audit.request_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,public.market_seller_accounts.submitted_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_financial_documents.immutable_snapshot,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,battle_spectator_private.grants.generation,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_tax_exports.source_event_count,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_shipping_addresses.captured_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_tax_events.deal_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_compliance_policy.seller_terms_version,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_withdrawals.buyer_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_payment_configuration.policy_version,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_pickup_handovers.code_hash,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,public.market_seller_accounts.terms_version,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_refund_requests.attempt_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_message_outbox.dedupe_key,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_tax_events.evidence,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.account_deletion_requests.last_error,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_shipping_addresses.street_line1,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_payment_attempts.id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_message_outbox.lock_token,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_withdrawal_drafts.consumer_name,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.seller_tax_identifiers.identifier_ciphertext,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,public.market_notifications.context_type,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.seller_declarations.seller_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_contract_snapshots.shipping_method,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notice_appeals.id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notices.category,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_stripe_events.object_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_financial_documents.content_sha256,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_pickup_handovers.order_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.data_retention_rules.updated_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notices.decision_duration,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notice_appeals.decided_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,battle_spectator_media_private.epochs.updated_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_message_outbox.notice_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.account_deletion_holds.retain_until,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.account_deletion_holds.category,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notices.access_code_hash,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,public.market_orders.delivery_review_requested_by,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_financial_documents.id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_payment_attempts.stripe_account_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notice_appeals.reviewer_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.listing_notice_appeals.grounds,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_reservations.id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_contract_snapshots.content_sha256,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,battle_spectator_media_private.revocations.reason,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_contract_snapshots.total_price,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,battle_spectator_media_private.consents.granted,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_value_snapshots.created_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_message_outbox.delivered_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.marketplace_message_outbox.provider_message_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_refund_requests.stripe_refund_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_value_snapshots.captured_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.seller_account_audit.seller_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_revision_items.thread_id,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_stripe_accounts.payouts_enabled,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_swap_shipping_addresses.street_line2,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,dv_market_private.market_stripe_events.received_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
columns,staging_only,public.market_orders.delivery_reviewed_at,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
